"codi_eoi,""nom_estacio"",""data"",""magnitud"",""contaminant"",""unitats"",""tipus_estacio"",""area_urbana"",""codi_ine"",""municipi"",""codi_comarca"",""nom_comarca"",""h01"",""h02"",""h03"",""h04"",""h05"",""h06"",""h07"",""h08"",""h09"",""h10"",""h11"",""h12"",""h13"",""h14"",""h15"",""h16"",""h17"",""h18"",""h19"",""h20"",""h21"",""h22"",""h23"",""h24"",""altitud"",""latitud"",""longitud"",""geocoded_column"""
"08187012,""Sabadell"",""2020-07-27T00:00:00.000"",""10"",""PM10"",""µg/m3"",""traffic"",""urban"",""08187"",""Sabadell"",""40"",""Vallès Occidental"",""23"",""19"",""14"",""14"",""17"",""18"",""20"",""23"",""32"",""39"",""38"",""25"",""29"",""37"",""44"",""36"",""30"",""26"",""28"",""25"",""30"",""33"",""36"",""26"",""210"",""41.561214"",""2.1011107"",""POINT (2.1011107 41.561214)"""
"08187012,""Sabadell"",""2020-07-28T00:00:00.000"",""10"",""PM10"",""µg/m3"",""traffic"",""urban"",""08187"",""Sabadell"",""40"",""Vallès Occidental"",""20"",""21"",""14"",""15"",""18"",""21"",""26"",""31"",""44"",""51"",""40"",""35"",""51"",""46"",""41"",""30"",""27"",""31"",""29"",""35"",""32"",""39"",""34"",""31"",""210"",""41.561214"",""2.1011107"",""POINT (2.1011107 41.561214)"""
"08187012,""Sabadell"",""2020-07-27T00:00:00.000"",""12"",""NOX"",""µg/m3"",""traffic"",""urban"",""08187"",""Sabadell"",""40"",""Vallès Occidental"",""24"",""12"",""6"",""5"",""15"",""35"",""54"",""62"",""68"",""79"",""98"",""59"",""65"",""72"",""60"",""57"",""53"",""48"",""51"",""58"",""54"",""45"",""54"",""30"",""210"",""41.561214"",""2.1011107"",""POINT (2.1011107 41.561214)"""
"08187012,""Sabadell"",""2020-07-28T00:00:00.000"",""12"",""NOX"",""µg/m3"",""traffic"",""urban"",""08187"",""Sabadell"",""40"",""Vallès Occidental"",""19"",""14"",""7"",""10"",""16"",""46"",""119"",""129"",""99"",""74"",""73"",""91"",""96"",""70"",""65"",""51"",""48"",""58"",""67"",""85"",""48"",""49"",""37"",""46"",""210"",""41.561214"",""2.1011107"",""POINT (2.1011107 41.561214)"""
"08187012,""Sabadell"",""2020-07-27T00:00:00.000"",""7"",""NO"",""µg/m3"",""traffic"",""urban"",""08187"",""Sabadell"",""40"",""Vallès Occidental"",""3"",""2"",""1"",""1"",""3"",""10"",""16"",""19"",""24"",""26"",""32"",""17"",""18"",""15"",""12"",""12"",""12"",""12"",""11"",""13"",""11"",""8"",""8"",""4"",""210"",""41.561214"",""2.1011107"",""POINT (2.1011107 41.561214)"""
"08187012,""Sabadell"",""2020-07-28T00:00:00.000"",""7"",""NO"",""µg/m3"",""traffic"",""urban"",""08187"",""Sabadell"",""40"",""Vallès Occidental"",""2"",""2"",""1"",""2"",""2"",""12"",""40"",""45"",""33"",""23"",""21"",""27"",""21"",""16"",""15"",""11"",""11"",""13"",""16"",""22"",""6"",""7"",""4"",""7"",""210"",""41.561214"",""2.1011107"",""POINT (2.1011107 41.561214)"""
"08187012,""Sabadell"",""2020-07-28T00:00:00.000"",""8"",""NO2"",""µg/m3"",""traffic"",""urban"",""08187"",""Sabadell"",""40"",""Vallès Occidental"",""16"",""13"",""6"",""9"",""13"",""28"",""58"",""61"",""49"",""39"",""41"",""50"",""63"",""46"",""42"",""33"",""31"",""38"",""43"",""52"",""38"",""39"",""31"",""35"",""210"",""41.561214"",""2.1011107"",""POINT (2.1011107 41.561214)"""
"08187012,""Sabadell"",""2019-07-28T00:00:00.000"",""7"",""NO"",""µg/m3"",""traffic"",""urban"",""08187"",""Sabadell"",""40"",""Vallès Occidental"",""4"",""3"",""3"",""3"",""3"",""4"",""3"",""5"",""6"",""6"",""6"",""8"",""7"",""9"",""5"",""5"",""5"",""5"",""7"",""10"",""6"",""8"",""9"",""6"",""210"",""41.561214"",""2.1011107"",""POINT (2.1011107 41.561214)"""
"08187012,""Sabadell"",""2019-07-04T00:00:00.000"",""7"",""NO"",""µg/m3"",""traffic"",""urban"",""08187"",""Sabadell"",""40"",""Vallès Occidental"",""3"",""3"",""2"",""3"",""4"",""15"",""40"",""31"",""32"",""32"",""26"",""29"",""23"",""18"",""18"",""11"",""13"",""12"",""16"",""22"",""22"",""12"",""14"",""12"",""210"",""41.561214"",""2.1011107"",""POINT (2.1011107 41.561214)"""
"08187012,""Sabadell"",""2019-06-18T00:00:00.000"",""7"",""NO"",""µg/m3"",""traffic"",""urban"",""08187"",""Sabadell"",""40"",""Vallès Occidental"",""4"",""3"",""1"",""2"",""4"",""10"",""42"",""53"",""61"",""46"",""17"",""17"",""22"",""22"",,,""14"",""17"",""18"",""15"",""11"",""8"",""5"",""11"",""210"",""41.561214"",""2.1011107"",""POINT (2.1011107 41.561214)"""
