CODI_ESTACIO;NOM_ESTACIO;LATITUD;LONGITUD;Georeferència;EMPLACAMENT;ALTITUD;NOM_MUNICIPI;NOM_COMARCA;CODI_ESTAT;NOM_ESTAT;DATA_ALTA
XG;Parets del Vallès;4.156.734;222.619;POINT (2.22619 41.56734);CEIP Pau Vila;123;Parets del Vallès;Vallès Oriental;2;Operativa;10/30/2008 12:00:00 AM
WE;Vilanova del Vallès;415.444;230.014;POINT (2.30014 41.5444);Mas Casa Alta;126;Vilanova del Vallès;Vallès Oriental;2;Operativa;07/05/2000 0:00
VW;Caldes de Montbui - Torre Marimon;4.161.235;217.099;POINT (2.17099 41.61235);Finca Torre Marimon;164.5;Caldes de Montbui;Vallès Oriental;1;Desmantellada;12/23/1990 12:00:00 AM
XK;Puig Sesolles (1.668 m);4.177.362;243.774;POINT (2.43774 41.77362);Puig Sesolles (Massís del Montseny);1668;Fogars de Montclús;Vallès Oriental;2;Operativa;09/22/2010 12:00:00 AM
KX;la Roca del Vallès - ETAP Cardedeu;4.161.865;236.114;POINT (2.36114 41.61865);Planta tractament d'Aigües Ter - Llobregat;156;La Roca del Vallès;Vallès Oriental;2;Operativa;01/05/1996 0:00
X9;Caldes de Montbui;4.161.265;216.836;POINT (2.16836 41.61265);Torre Marimon;176;Caldes de Montbui;Vallès Oriental;2;Operativa;03/08/2007 0:00
VX;Tagamanent - PN del Montseny;4.174.761;230.291;POINT (2.30291 41.74761);Can Bellver - Serrat de Bellver. Parc Natural del Montseny;1030;Tagamanent;Vallès Oriental;2;Operativa;01/04/1996 0:00
CM;Montmeló;4.154.911;224.546;POINT (2.24546 41.54911);Torreta de Can Campanyà;75.2;Montmeló;Vallès Oriental;1;Desmantellada;01/23/1996 12:00:00 AM
VV;Sant Llorenç Savall;4.168.129;202.647;POINT (2.02647 41.68129);Masia Can Brossa;528;Sant Llorenç Savall;Vallès Occidental;2;Operativa;03/25/1998 12:00:00 AM
XF;Sabadell - Parc Agrari;4.156.568;206.952;POINT (2.06952 41.56568);Parc Agrari;258;Sabadell;Vallès Occidental;2;Operativa;10/23/2008 12:00:00 AM
D2;Vacarisses;4.159.252;1.915;POINT (1.915 41.59252);Planta potabilitzadora;343;Vacarisses;Vallès Occidental;2;Operativa;02/15/1996 12:00:00 AM
YK;Terrassa;4.155.361;199.005;POINT (1.99005 41.55361);Can Poal;313;Terrassa;Vallès Occidental;2;Operativa;12/20/2018 12:00:00 AM
XV;Sant Cugat del Vallès - CAR;4.148.311;207.956;POINT (2.07956 41.48311);Centre d'Alt Rendiment;158;Sant Cugat del Vallès;Vallès Occidental;2;Operativa;08/08/2013 0:00
VU;Rellinars;4.163.286;191.718;POINT (1.91718 41.63286);Puig de la Ballesta;421;Rellinars;Vallès Occidental;2;Operativa;02/18/1998 12:00:00 AM
VT;Cerdanyola del Vallès;4.148.401;212.745;POINT (2.12745 41.48401);Parc Tecnològic del Vallès. Masia Can Fatjó del Molí;84;Cerdanyola del Vallès;Vallès Occidental;1;Desmantellada;05/15/1998 12:00:00 AM
XC;Castellbisbal;4.147.892;197.546;POINT (1.97546 41.47892);Turó de la Verdalaga;147;Castellbisbal;Vallès Occidental;2;Operativa;03/18/2008 12:00:00 AM
CU;Vielha;4.269.856;0.79397;POINT (0.79397 42.69856);Prat de Tixineret;1002;Vielha e Mijaran;Val d'Aran;2;Operativa;02/15/1996 12:00:00 AM
Z6;Sasseuva (2.228 m);4.277.011;0.73198;POINT (0.73198 42.77011);Sasseuva;2228;Arres;Val d'Aran;2;Operativa;09/20/2001 12:00:00 AM
VS;Lac Redon (2.247 m);4.263.835;0.77889;POINT (0.77889 42.63835);Lac Redon - Tuc deth Pòrt de Vielha;2247;Vielha e Mijaran;Val d'Aran;2;Operativa;07/15/1999 12:00:00 AM
VR;Tornabous - Montargull;4.168.994;104.401;POINT (1.04401 41.68994);Masia Mignot;291;Tornabous;Urgell;1;Desmantellada;09/17/1997 12:00:00 AM
WL;Sant Martí de Riucorb;4.157.236;10.882;POINT (1.0882 41.57236);Camí de les Comes, pol. 2, parc. 137;413;Sant Martí de Riucorb;Urgell;2;Operativa;02/05/2002 0:00
XX;Tornabous;4.168.835;104.476;POINT (1.04476 41.68835);Masia Mingot;291;Tornabous;Urgell;2;Operativa;08/06/2013 0:00
C7;Tàrrega;4.166.695;116.234;POINT (1.16234 41.66695);Abocador comarcal;427;Tàrrega;Urgell;2;Operativa;11/06/1995 0:00
WD;Batea;4.108.671;0.31884;POINT (0.31884 41.08671);Clos Cóssos;382;Batea;Terra Alta;2;Operativa;12/23/1999 12:00:00 AM
D8;Horta de Sant Joan;4.095.134;0.30565;POINT (0.30565 40.95134);Les Forques;515;Horta de Sant Joan;Terra Alta;2;Operativa;01/28/1998 12:00:00 AM
XP;Gandesa;4.106.581;0.43006;POINT (0.43006 41.06581);IRTA UETA Gandesa;349;Gandesa;Terra Alta;2;Operativa;11/30/2011 12:00:00 AM
DK;Torredembarra;4.114.677;141.846;POINT (1.41846 41.14677);Aiguamolls els Muntanyans;2;Torredembarra;Tarragonès;2;Operativa;11/24/1999 12:00:00 AM
XE;Tarragona - Complex Educatiu;4.110.393;1.201;POINT (1.201 41.10393);Complex Educatiu;5;Tarragona;Tarragonès;2;Operativa;02/05/2009 0:00
VQ;Constantí;411.713;116.774;POINT (1.16774 41.1713);IRTA - Centre de Mas Bové. Apt. correus 415;112;Constantí;Tarragonès;2;Operativa;05/29/1990 12:00:00 AM
Z8;el Port del Comte (2.316 m);4.218.254;152.407;POINT (1.52407 42.18254);Port del Comte;2316;La Coma i la Pedra;Solsonès;2;Operativa;10/03/2002 0:00
MW;Navès;4.200.707;165.239;POINT (1.65239 42.00707);el Garrigar;545;Navès;Solsonès;1;Desmantellada;03/22/2010 12:00:00 AM
VO;Lladurs;4.208.745;142.792;POINT (1.42792 42.08745);Masia el Pla - Montpol;785;Lladurs;Solsonès;2;Operativa;05/05/1998 0:00
CA;Clariana de Cardener;4.195.378;15.851;POINT (1.5851 41.95378);Abocador comarcal;693;Clariana de Cardener;Solsonès;1;Desmantellada;05/02/1996 0:00
VP;Pinós;4.180.483;153.853;POINT (1.53853 41.80483);Masia Can Caselles;659;Pinós;Solsonès;2;Operativa;07/03/1995 0:00
MV;Guixers - Valls;4.213.598;167.295;POINT (1.67295 42.13598);Cal Teuler;845;Guixers;Solsonès;2;Operativa;06/17/2015 12:00:00 AM
XT;Solsona;4.198.766;151.165;POINT (1.51165 41.98766);Magatzem Municipal;691;Solsona;Solsonès;2;Operativa;07/12/2012 0:00
VN;Vilobí d'Onyar;4.188.244;274.262;POINT (2.74262 41.88244);Camps de Can Salvà;117;Vilobí d'Onyar;Selva;2;Operativa;11/10/1998 0:00
DN;Anglès;4.196.095;263.108;POINT (2.63108 41.96095);Poliesportiu municipal;150;Anglès;Selva;2;Operativa;05/10/2001 0:00
KP;Fogars de la Selva;4.173.894;269.436;POINT (2.69436 41.73894);Can Simó;36;Fogars de la Selva;Selva;2;Operativa;01/05/1996 0:00
CF;Lloret de Mar;4.172.346;284.282;POINT (2.84282 41.72346);Abocador municipal;63.3;Lloret de Mar;Selva;1;Desmantellada;02/05/1996 0:00
CK;Santa Coloma de Farners;4.186.472;266.451;POINT (2.66451 41.86472);Dipòsit d'aigua;163;Santa Coloma de Farners;Selva;1;Desmantellada;02/05/1996 0:00
XS;Santa Coloma de Farners;4.186.489;266.446;POINT (2.66446 41.86489);Dipòsit d'aigua;162;Santa Coloma de Farners;Selva;2;Operativa;03/26/2013 12:00:00 AM
VM;Vilanova de Segrià;417.145;0.62839;POINT (0.62839 41.7145);Partida lo Sort;222;Vilanova de Segrià;Segrià;2;Operativa;09/17/1997 12:00:00 AM
WI;Maials;4.135.741;0.4809;POINT (0.4809 41.35741);Paratge d'Argelagar;350;Maials;Segrià;2;Operativa;12/20/2000 12:00:00 AM
XY;Alcarràs;4.156.509;0.55027;POINT (0.55027 41.56509);Central del revés;122;Alcarràs;Segrià;2;Operativa;07/31/2013 12:00:00 AM
WK;Alfarràs;4.181.949;0.57768;POINT (0.57768 41.81949);Escola de Capacitació Agrària d'Alfarràs(de 1997 a 2001, és Almenar);268;Alfarràs;Segrià;2;Operativa;09/17/1997 12:00:00 AM
